CustomerID,Lookalikes
C0001,"[('C0107', 0.9998), ('C0137', 0.9997), ('C0174', 0.9993)]"
C0002,"[('C0142', 0.9991), ('C0177', 0.998), ('C0178', 0.997)]"
C0003,"[('C0133', 0.9966), ('C0190', 0.9966), ('C0174', 0.9947)]"
C0004,"[('C0113', 0.9994), ('C0102', 0.9979), ('C0012', 0.9963)]"
C0005,"[('C0186', 0.9997), ('C0159', 0.9996), ('C0007', 0.9985)]"
C0006,"[('C0168', 0.9981), ('C0158', 0.9962), ('C0048', 0.9961)]"
C0007,"[('C0159', 0.999), ('C0115', 0.9989), ('C0005', 0.9985)]"
C0008,"[('C0098', 0.9888), ('C0049', 0.9883), ('C0139', 0.9872)]"
C0009,"[('C0198', 0.9953), ('C0063', 0.9922), ('C0061', 0.9896)]"
C0010,"[('C0166', 0.9979), ('C0199', 0.9961), ('C0073', 0.9942)]"
C0011,"[('C0107', 0.9997), ('C0048', 0.9996), ('C0001', 0.9993)]"
C0012,"[('C0155', 0.999), ('C0013', 0.9984), ('C0108', 0.9978)]"
C0013,"[('C0155', 0.9991), ('C0012', 0.9984), ('C0104', 0.9974)]"
C0014,"[('C0060', 0.9998), ('C0198', 0.9929), ('C0063', 0.9858)]"
C0015,"[('C0020', 0.9944), ('C0144', 0.9922), ('C0131', 0.989)]"
C0016,"[('C0183', 0.9986), ('C0154', 0.9966), ('C0055', 0.9951)]"
C0017,"[('C0124', 0.9978), ('C0041', 0.9929), ('C0075', 0.9927)]"
C0018,"[('C0067', 0.9908), ('C0046', 0.9906), ('C0122', 0.9895)]"
C0019,"[('C0172', 0.9996), ('C0127', 0.9967), ('C0069', 0.9948)]"
C0020,"[('C0033', 0.9967), ('C0058', 0.9967), ('C0015', 0.9944)]"
